9999	9998
9999	9992
9999	9993
9999	9991
9999	9996
9999	9997
9999	9994
9999	9995
9996	9997
9996	9995
9996	9994
9996	9993
9996	9992
99	9998
99	9999
99	9996
99	9997
99	9994
99	9995
99	9992
99	9993
9996	9999
9996	9998
9997	99
9999	99
9992	99
9998	99
9993	99
9997	9998
9997	9999
9997	9991
9997	9992
9997	9993
9997	9994
9997	9995
9997	9996
9996	99
9996	9991
9991	99
9994	99
9995	9996
9995	9997
9995	9994
9995	9992
9995	9993
9995	9991
99	9991
9995	9998
9995	9999
9992	9993
9992	9991
9995	99
9992	9997
9992	9996
9992	9995
9992	9994
9992	9999
9992	9998
9991	9992
9991	9993
9991	9996
9991	9997
9991	9994
9991	9995
9991	9998
9991	9999
9994	9998
9998	9991
9998	9993
9998	9992
9998	9995
9998	9994
9998	9997
9998	9996
9998	9999
9993	9998
9993	9994
9993	9995
9993	9996
9993	9997
9994	9999
9993	9991
9993	9992
9994	9995
9994	9997
9994	9996
9994	9991
9993	9999
9994	9993
9994	9992
